"No.","Time","Source","Destination","Protocol","Length","Info"
"135","3.507868","192.168.79.132","192.168.79.131","TCP","60","1643  >  80 [SYN] Seq=0 Win=512 Len=0"
"136","3.509431","192.168.79.132","192.168.79.131","TCP","60","1644  >  80 [SYN] Seq=0 Win=512 Len=0"
"137","3.510879","192.168.79.132","192.168.79.131","TCP","60","1645  >  80 [SYN] Seq=0 Win=512 Len=0"
"138","3.512577","192.168.79.132","192.168.79.131","TCP","60","1646  >  80 [SYN] Seq=0 Win=512 Len=0"
"139","3.514072","192.168.79.132","192.168.79.131","TCP","60","1647  >  80 [SYN] Seq=0 Win=512 Len=0"
"140","3.515686","192.168.79.132","192.168.79.131","TCP","60","1648  >  80 [SYN] Seq=0 Win=512 Len=0"
"141","3.517948","192.168.79.132","192.168.79.131","TCP","60","1649  >  80 [SYN] Seq=0 Win=512 Len=0"
"142","3.519814","192.168.79.132","192.168.79.131","TCP","60","1650  >  80 [SYN] Seq=0 Win=512 Len=0"
"143","3.520159","192.168.79.132","192.168.79.131","TCP","60","1651  >  80 [SYN] Seq=0 Win=512 Len=0"
"144","3.521780","192.168.79.132","192.168.79.131","TCP","60","1652  >  80 [SYN] Seq=0 Win=512 Len=0"
"145","3.523133","192.168.79.132","192.168.79.131","TCP","60","1653  >  80 [SYN] Seq=0 Win=512 Len=0"
"146","3.524974","192.168.79.132","192.168.79.131","TCP","60","1654  >  80 [SYN] Seq=0 Win=512 Len=0"
"147","3.526342","192.168.79.132","192.168.79.131","TCP","60","1655  >  80 [SYN] Seq=0 Win=512 Len=0"
"148","3.527905","192.168.79.132","192.168.79.131","TCP","60","1656  >  80 [SYN] Seq=0 Win=512 Len=0"
"149","3.529471","192.168.79.132","192.168.79.131","TCP","60","1657  >  80 [SYN] Seq=0 Win=512 Len=0"
"150","3.531214","192.168.79.132","192.168.79.131","TCP","60","1658  >  80 [SYN] Seq=0 Win=512 Len=0"
"151","3.532980","192.168.79.132","192.168.79.131","TCP","60","1659  >  80 [SYN] Seq=0 Win=512 Len=0"
"152","3.536253","192.168.79.132","192.168.79.131","TCP","60","1660  >  80 [SYN] Seq=0 Win=512 Len=0"
"153","3.536253","192.168.79.132","192.168.79.131","TCP","60","1661  >  80 [SYN] Seq=0 Win=512 Len=0"
"154","3.536649","192.168.79.132","192.168.79.131","TCP","60","1662  >  80 [SYN] Seq=0 Win=512 Len=0"
"155","3.538176","192.168.79.132","192.168.79.131","TCP","60","1663  >  80 [SYN] Seq=0 Win=512 Len=0"
"156","3.539764","192.168.79.132","192.168.79.131","TCP","60","1664  >  80 [SYN] Seq=0 Win=512 Len=0"
"157","3.541115","192.168.79.132","192.168.79.131","TCP","60","1665  >  80 [SYN] Seq=0 Win=512 Len=0"
"158","3.542844","192.168.79.132","192.168.79.131","TCP","60","1666  >  80 [SYN] Seq=0 Win=512 Len=0"
"159","3.544520","192.168.79.132","192.168.79.131","TCP","60","1667  >  80 [SYN] Seq=0 Win=512 Len=0"
"160","3.545928","192.168.79.132","192.168.79.131","TCP","60","1668  >  80 [SYN] Seq=0 Win=512 Len=0"
"161","3.547602","192.168.79.132","192.168.79.131","TCP","60","1669  >  80 [SYN] Seq=0 Win=512 Len=0"
"162","3.549203","192.168.79.132","192.168.79.131","TCP","60","1670  >  80 [SYN] Seq=0 Win=512 Len=0"
"163","3.550602","192.168.79.132","192.168.79.131","TCP","60","1671  >  80 [SYN] Seq=0 Win=512 Len=0"
"164","3.552937","192.168.79.132","192.168.79.131","TCP","60","1672  >  80 [SYN] Seq=0 Win=512 Len=0"
"165","3.553627","192.168.79.132","192.168.79.131","TCP","60","1673  >  80 [SYN] Seq=0 Win=512 Len=0"
"166","3.555131","192.168.79.132","192.168.79.131","TCP","60","1674  >  80 [SYN] Seq=0 Win=512 Len=0"
"167","3.556644","192.168.79.132","192.168.79.131","TCP","60","1675  >  80 [SYN] Seq=0 Win=512 Len=0"
"168","3.558179","192.168.79.132","192.168.79.131","TCP","60","1676  >  80 [SYN] Seq=0 Win=512 Len=0"
"169","3.559568","192.168.79.132","192.168.79.131","TCP","60","1677  >  80 [SYN] Seq=0 Win=512 Len=0"
"170","3.560960","192.168.79.132","192.168.79.131","TCP","60","1678  >  80 [SYN] Seq=0 Win=512 Len=0"
"171","3.562575","192.168.79.132","192.168.79.131","TCP","60","1679  >  80 [SYN] Seq=0 Win=512 Len=0"
"172","3.564471","192.168.79.132","192.168.79.131","TCP","60","1680  >  80 [SYN] Seq=0 Win=512 Len=0"
"173","3.565855","192.168.79.132","192.168.79.131","TCP","60","1681  >  80 [SYN] Seq=0 Win=512 Len=0"
"174","3.567290","192.168.79.132","192.168.79.131","TCP","60","1682  >  80 [SYN] Seq=0 Win=512 Len=0"
"175","3.569654","192.168.79.132","192.168.79.131","TCP","60","1683  >  80 [SYN] Seq=0 Win=512 Len=0"
"176","3.570412","192.168.79.132","192.168.79.131","TCP","60","1684  >  80 [SYN] Seq=0 Win=512 Len=0"
"177","3.572101","192.168.79.132","192.168.79.131","TCP","60","1685  >  80 [SYN] Seq=0 Win=512 Len=0"
"178","3.573534","192.168.79.132","192.168.79.131","TCP","60","1686  >  80 [SYN] Seq=0 Win=512 Len=0"
"179","3.575043","192.168.79.132","192.168.79.131","TCP","60","1687  >  80 [SYN] Seq=0 Win=512 Len=0"
"180","3.576595","192.168.79.132","192.168.79.131","TCP","60","1688  >  80 [SYN] Seq=0 Win=512 Len=0"
"181","3.578173","192.168.79.132","192.168.79.131","TCP","60","1689  >  80 [SYN] Seq=0 Win=512 Len=0"
"182","3.579679","192.168.79.132","192.168.79.131","TCP","60","1690  >  80 [SYN] Seq=0 Win=512 Len=0"
"183","3.581807","192.168.79.132","192.168.79.131","TCP","60","1691  >  80 [SYN] Seq=0 Win=512 Len=0"
"184","3.582493","192.168.79.132","192.168.79.131","TCP","60","1692  >  80 [SYN] Seq=0 Win=512 Len=0"
"185","3.584424","192.168.79.132","192.168.79.131","TCP","60","1693  >  80 [SYN] Seq=0 Win=512 Len=0"
"186","3.586608","192.168.79.132","192.168.79.131","TCP","60","1694  >  80 [SYN] Seq=0 Win=512 Len=0"
"187","3.587454","192.168.79.132","192.168.79.131","TCP","60","1695  >  80 [SYN] Seq=0 Win=512 Len=0"
"188","3.588476","192.168.79.132","192.168.79.131","TCP","60","1696  >  80 [SYN] Seq=0 Win=512 Len=0"
"189","3.589791","192.168.79.132","192.168.79.131","TCP","60","1697  >  80 [SYN] Seq=0 Win=512 Len=0"
"190","3.591044","192.168.79.132","192.168.79.131","TCP","60","1698  >  80 [SYN] Seq=0 Win=512 Len=0"
"191","3.592313","192.168.79.132","192.168.79.131","TCP","60","1699  >  80 [SYN] Seq=0 Win=512 Len=0"
"192","3.593738","192.168.79.132","192.168.79.131","TCP","60","1700  >  80 [SYN] Seq=0 Win=512 Len=0"
"193","3.594940","192.168.79.132","192.168.79.131","TCP","60","1701  >  80 [SYN] Seq=0 Win=512 Len=0"
"194","3.596244","192.168.79.132","192.168.79.131","TCP","60","1702  >  80 [SYN] Seq=0 Win=512 Len=0"
"195","3.601314","192.168.79.132","192.168.79.131","TCP","60","1703  >  80 [SYN] Seq=0 Win=512 Len=0"
"196","3.601314","192.168.79.132","192.168.79.131","TCP","60","1704  >  80 [SYN] Seq=0 Win=512 Len=0"
"197","3.601314","192.168.79.132","192.168.79.131","TCP","60","1705  >  80 [SYN] Seq=0 Win=512 Len=0"
"198","3.604911","192.168.79.132","192.168.79.131","TCP","60","1706  >  80 [SYN] Seq=0 Win=512 Len=0"
"199","3.604911","192.168.79.132","192.168.79.131","TCP","60","1707  >  80 [SYN] Seq=0 Win=512 Len=0"
"200","3.604911","192.168.79.132","192.168.79.131","TCP","60","1708  >  80 [SYN] Seq=0 Win=512 Len=0"
"201","3.605610","192.168.79.132","192.168.79.131","TCP","60","1709  >  80 [SYN] Seq=0 Win=512 Len=0"
"202","3.607179","192.168.79.132","192.168.79.131","TCP","60","1710  >  80 [SYN] Seq=0 Win=512 Len=0"
"203","3.609041","192.168.79.132","192.168.79.131","TCP","60","1711  >  80 [SYN] Seq=0 Win=512 Len=0"
"204","3.609333","192.168.79.132","192.168.79.131","TCP","60","1712  >  80 [SYN] Seq=0 Win=512 Len=0"
"205","3.610701","192.168.79.132","192.168.79.131","TCP","60","1713  >  80 [SYN] Seq=0 Win=512 Len=0"
"206","3.612053","192.168.79.132","192.168.79.131","TCP","60","1714  >  80 [SYN] Seq=0 Win=512 Len=0"
