"No.","Time","Source","Destination","Protocol","Length","Info"
"126","4.887847800","192.168.79.132","192.168.79.131","TCP","60","62409  >  4 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"127","4.890493500","192.168.79.132","192.168.79.131","TCP","60","62409  >  16992 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"128","4.971552500","192.168.79.132","192.168.79.131","TCP","60","62407  >  57797 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"129","4.974342500","192.168.79.132","192.168.79.131","TCP","60","62407  >  1000 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"130","4.977535000","192.168.79.132","192.168.79.131","TCP","60","62407  >  8022 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"131","4.980454700","192.168.79.132","192.168.79.131","TCP","60","62407  >  981 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"132","4.983192800","192.168.79.132","192.168.79.131","TCP","60","62407  >  1040 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"133","4.985792700","192.168.79.132","192.168.79.131","TCP","60","62407  >  8222 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"134","4.988149800","192.168.79.132","192.168.79.131","TCP","60","62407  >  6346 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"135","4.988149800","192.168.79.132","192.168.79.131","TCP","60","62407  >  5214 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"136","4.988149800","192.168.79.132","192.168.79.131","TCP","60","62407  >  5988 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"137","4.990921400","192.168.79.132","192.168.79.131","TCP","60","62407  >  1600 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"138","5.071839600","192.168.79.132","192.168.79.131","TCP","60","62409  >  57797 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"139","5.074387300","192.168.79.132","192.168.79.131","TCP","60","62409  >  1000 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"140","5.077787500","192.168.79.132","192.168.79.131","TCP","60","62409  >  8022 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"141","5.080305900","192.168.79.132","192.168.79.131","TCP","60","62409  >  981 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"142","5.083021800","192.168.79.132","192.168.79.131","TCP","60","62409  >  1040 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"143","5.085894200","192.168.79.132","192.168.79.131","TCP","60","62409  >  8222 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"144","5.088297600","192.168.79.132","192.168.79.131","TCP","60","62409  >  5988 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"145","5.088297600","192.168.79.132","192.168.79.131","TCP","60","62409  >  5214 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"146","5.088297600","192.168.79.132","192.168.79.131","TCP","60","62409  >  6346 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"147","5.091034200","192.168.79.132","192.168.79.131","TCP","60","62409  >  1600 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"148","5.172689300","192.168.79.132","192.168.79.131","TCP","60","62407  >  2103 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"149","5.176019000","192.168.79.132","192.168.79.131","TCP","60","62407  >  20222 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"150","5.178231900","192.168.79.132","192.168.79.131","TCP","60","62407  >  3914 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"151","5.183082400","192.168.79.132","192.168.79.131","TCP","60","62407  >  1071 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"152","5.185033200","192.168.79.132","192.168.79.131","TCP","60","62407  >  1096 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"153","5.187368900","192.168.79.132","192.168.79.131","TCP","60","62407  >  2604 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"154","5.189650700","192.168.79.132","192.168.79.131","TCP","60","62407  >  264 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"155","5.189650700","192.168.79.132","192.168.79.131","TCP","60","62407  >  2608 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"156","5.189650700","192.168.79.132","192.168.79.131","TCP","60","62407  >  3372 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"157","5.192086800","192.168.79.132","192.168.79.131","TCP","60","62407  >  9485 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"158","5.273353600","192.168.79.132","192.168.79.131","TCP","60","62409  >  2103 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
